query_name,pipeline_id,repetition,source_name,throughput,latency_us,pipeline_task_duration_us,pipeline_tuples,pipeline_task_count,pipeline_task_span_us,pipeline_avg_task_duration_us,end_to_end_tuples,end_to_end_duration_us,end_to_end_throughput,end_to_end_latency_us,avg_sink_latency_us,std_sink_latency_us,p50_sink_latency_us,p95_sink_latency_us,p99_sink_latency_us,sink_latency_count,is_inference_pipeline,batch_size,number_of_entries_prediction_cache,prediction_cache_scope,prediction_cache_type,use_batch_deduplication
ablation_cwru_lat.test_03,2,rep-01,CWRUSOURCE,965074.808542864,56.229550291287666,504421.0,486804.0,101.0,27372770.0,4994.267326732674,486804.0,27512300.0,17694.049570555715,81606.10978237988,479428.4128078818,664163.6980424975,34799.0,1861448.1999999967,2598456.2,1015,False,1,16,GLOBAL,LFU,false
ablation_cwru_lat.test_03,3,rep-01,CWRUSOURCE,4206449.605972625,56.223377375699464,115728.0,486804.0,101.0,27369765.0,1145.8217821782177,486804.0,27512300.0,17694.049570555715,81606.10978237988,479428.4128078818,664163.6980424975,34799.0,1861448.1999999967,2598456.2,1015,False,1,16,GLOBAL,LFU,false
ablation_cwru_lat.test_03,4,rep-01,CWRUSOURCE,102042.81489315863,1313.446017274472,204228.0,20840.0,101.0,27372215.0,2022.0594059405942,486804.0,27512300.0,17694.049570555715,81606.10978237988,479428.4128078818,664163.6980424975,34799.0,1861448.1999999967,2598456.2,1015,False,1,16,GLOBAL,LFU,false
ablation_cwru_lat.test_03,5,rep-01,CWRUSOURCE,1206.9740506524795,26794.83251231527,840946.0,1015.0,1015.0,27196755.0,828.5182266009853,486804.0,27512300.0,17694.049570555715,81606.10978237988,479428.4128078818,664163.6980424975,34799.0,1861448.1999999967,2598456.2,1015,False,1,16,GLOBAL,LFU,false
ablation_cwru_lat.test_03,6,rep-01,CWRUSOURCE,12.949022339882978,26790.423645320196,78384296.0,1015.0,1015.0,27192280.0,77225.90738916256,486804.0,27512300.0,17694.049570555715,81606.10978237988,479428.4128078818,664163.6980424975,34799.0,1861448.1999999967,2598456.2,1015,True,1,16,GLOBAL,LFU,false
ablation_cwru_lat.test_03,7,rep-01,CWRUSOURCE,21844.39901000753,26594.954679802955,46465.0,1015.0,1015.0,26993879.0,45.77832512315271,486804.0,27512300.0,17694.049570555715,81606.10978237988,479428.4128078818,664163.6980424975,34799.0,1861448.1999999967,2598456.2,1015,False,1,16,GLOBAL,LFU,false
ablation_cwru_lat.test_03,8,rep-01,CWRUSOURCE,0.0,,32069.0,0.0,1015.0,26993780.0,31.595073891625617,486804.0,27512300.0,17694.049570555715,81606.10978237988,479428.4128078818,664163.6980424975,34799.0,1861448.1999999967,2598456.2,1015,False,1,16,GLOBAL,LFU,false
ablation_cwru_lat.test_03,2,rep-01,CWRUSOURCE,1001565.7050919363,20.63705515977683,486043.0,486804.0,102.0,10046201.0,4765.1274509803925,486804.0,10161100.0,47908.59257363868,48590.90650497157,200042.34285714285,169070.83737551156,122689.0,494460.3999999998,559717.62,1015,False,12,16,,LFU,false
ablation_cwru_lat.test_03,3,rep-01,CWRUSOURCE,4479324.242256942,20.629162866369217,108678.0,486804.0,102.0,10042359.0,1065.4705882352941,486804.0,10161100.0,47908.59257363868,48590.90650497157,200042.34285714285,169070.83737551156,122689.0,494460.3999999998,559717.62,1015,False,12,16,,LFU,false
ablation_cwru_lat.test_03,4,rep-01,CWRUSOURCE,124721.76094406954,474.11888574126533,169818.0,21180.0,102.0,10041838.0,1664.8823529411766,486804.0,10161100.0,47908.59257363868,48590.90650497157,200042.34285714285,169070.83737551156,122689.0,494460.3999999998,559717.62,1015,False,12,16,,LFU,false
