policy,scope,key_bytes,prediction_bytes,capacity,pool_keys,threads,hit_percent,repetition,ops_per_thread,total_ops,makespan_us,throughput_ops_per_second,ns_per_op_mean,ns_per_op_min_thread,ns_per_op_max_thread,hits,misses,observed_hit_rate,expected_hit_rate,status
LRU,private,8,64,64,128,24,100,1,200000,4800000,28046.1,1.71147e+08,63.2683,35.383,140.23,4799976,24,0.999995,0.999995,ok
LRU,private,8,64,64,128,24,100,2,200000,4800000,27756.1,1.72935e+08,69.4422,40.9405,138.78,4799976,24,0.999995,0.999995,ok
LRU,shared,8,64,64,128,24,100,0,200000,4800000,2.50375e+06,1.91712e+06,12374,11746.6,12518.7,4799976,24,0.999995,0.999995,ok
LRU,shared,8,64,64,128,24,100,1,200000,4800000,2.46108e+06,1.95037e+06,12148.8,11399.8,12305.4,4799976,24,0.999995,0.999995,ok
LRU,shared,8,64,64,128,24,100,2,200000,4800000,2.41135e+06,1.99058e+06,11904.7,11382.4,12056.8,4799976,24,0.999995,0.999995,ok
LRU,private,300,64,64,128,1,0,0,200000,200000,98153.1,2.03763e+06,490.766,490.766,490.766,0,200000,0,0,ok
LRU,private,300,64,64,128,1,0,1,200000,200000,96114.4,2.08085e+06,480.572,480.572,480.572,0,200000,0,0,ok
LRU,private,300,64,64,128,1,0,2,200000,200000,95995.4,2.08343e+06,479.977,479.977,479.977,0,200000,0,0,ok
LRU,shared,300,64,64,128,1,0,0,200000,200000,96455.3,2.0735e+06,482.276,482.276,482.276,0,200000,0,0,ok
LRU,shared,300,64,64,128,1,0,1,200000,200000,96585.1,2.07071e+06,482.925,482.925,482.925,0,200000,0,0,ok
LRU,shared,300,64,64,128,1,0,2,200000,200000,102357,1.95395e+06,511.784,511.784,511.784,0,200000,0,0,ok
LRU,private,300,64,64,128,1,50,0,200000,200000,61187.7,3.26863e+06,305.938,305.938,305.938,100000,100000,0.5,0.5,ok
LRU,private,300,64,64,128,1,50,1,200000,200000,65920.5,3.03396e+06,329.603,329.603,329.603,100000,100000,0.5,0.5,ok
LRU,private,300,64,64,128,1,50,2,200000,200000,61207.1,3.26759e+06,306.036,306.036,306.036,100000,100000,0.5,0.5,ok
LRU,shared,300,64,64,128,1,50,0,200000,200000,61675.5,3.24278e+06,308.377,308.377,308.377,100000,100000,0.5,0.5,ok
LRU,shared,300,64,64,128,1,50,1,200000,200000,61793,3.23661e+06,308.965,308.965,308.965,100000,100000,0.5,0.5,ok
LRU,shared,300,64,64,128,1,50,2,200000,200000,61506.3,3.2517e+06,307.532,307.532,307.532,100000,100000,0.5,0.5,ok
LRU,private,300,64,64,128,1,100,0,200000,200000,22556.5,8.86663e+06,112.782,112.782,112.782,199999,1,0.999995,0.999995,ok
LRU,private,300,64,64,128,1,100,1,200000,200000,19514.6,1.02487e+07,97.5731,97.5731,97.5731,199999,1,0.999995,0.999995,ok
LRU,private,300,64,64,128,1,100,2,200000,200000,17991.4,1.11164e+07,89.9569,89.9569,89.9569,199999,1,0.999995,0.999995,ok
LRU,shared,300,64,64,128,1,100,0,200000,200000,18366.6,1.08893e+07,91.833,91.833,91.833,199999,1,0.999995,0.999995,ok
LRU,shared,300,64,64,128,1,100,1,200000,200000,18075.3,1.10648e+07,90.3766,90.3766,90.3766,199999,1,0.999995,0.999995,ok
LRU,shared,300,64,64,128,1,100,2,200000,200000,18866.1,1.0601e+07,94.3303,94.3303,94.3303,199999,1,0.999995,0.999995,ok
LRU,private,300,64,64,128,2,0,0,200000,400000,110355,3.62466e+06,525.977,500.179,551.776,0,400000,0,0,ok
LRU,private,300,64,64,128,2,0,1,200000,400000,101489,3.94133e+06,500.007,492.571,507.443,0,400000,0,0,ok
LRU,private,300,64,64,128,2,0,2,200000,400000,99029.4,4.0392e+06,491.784,488.421,495.147,0,400000,0,0,ok
LRU,shared,300,64,64,128,2,0,0,200000,400000,463727,862577,2296.99,2275.34,2318.63,0,400000,0,0,ok
LRU,shared,300,64,64,128,2,0,1,200000,400000,466767,856959,2331.6,2329.36,2333.83,0,400000,0,0,ok
LRU,shared,300,64,64,128,2,0,2,200000,400000,472837,845957,2346.64,2329.09,2364.19,0,400000,0,0,ok
LRU,private,300,64,64,128,2,50,0,200000,400000,68863.2,5.80862e+06,325.823,307.331,344.316,200000,200000,0.5,0.5,ok
LRU,private,300,64,64,128,2,50,1,200000,400000,65548.6,6.10234e+06,317.834,307.926,327.743,200000,200000,0.5,0.5,ok
LRU,private,300,64,64,128,2,50,2,200000,400000,63649.2,6.28444e+06,312.943,307.64,318.246,200000,200000,0.5,0.5,ok
LRU,shared,300,64,64,128,2,50,0,200000,400000,311683,1.28336e+06,1554.01,1549.6,1558.41,199999,200001,0.499997,0.5,inexact
LRU,shared,300,64,64,128,2,50,1,200000,400000,304615,1.31313e+06,1516.41,1509.76,1523.07,199996,200004,0.49999,0.5,inexact
LRU,shared,300,64,64,128,2,50,2,200000,400000,314285,1.27273e+06,1567.92,1564.41,1571.43,199998,200002,0.499995,0.5,inexact
LRU,private,300,64,64,128,2,100,0,200000,400000,22371.7,1.78797e+07,106.204,100.549,111.859,399998,2,0.999995,0.999995,ok
LRU,private,300,64,64,128,2,100,1,200000,400000,21590.1,1.8527e+07,103.413,98.8752,107.951,399998,2,0.999995,0.999995,ok
LRU,private,300,64,64,128,2,100,2,200000,400000,22243.9,1.79824e+07,102.276,93.3333,111.22,399998,2,0.999995,0.999995,ok
LRU,shared,300,64,64,128,2,100,0,200000,400000,189727,2.10829e+06,942.881,937.129,948.634,399998,2,0.999995,0.999995,ok
LRU,shared,300,64,64,128,2,100,1,200000,400000,88274.8,4.5313e+06,409.186,376.998,441.374,399998,2,0.999995,0.999995,ok
LRU,shared,300,64,64,128,2,100,2,200000,400000,187171,2.13708e+06,928.987,922.118,935.855,399998,2,0.999995,0.999995,ok
LRU,private,300,64,64,128,4,0,0,200000,800000,99505.9,8.03972e+06,491.76,482.342,497.53,0,800000,0,0,ok
LRU,private,300,64,64,128,4,0,1,200000,800000,99026.6,8.07863e+06,488.647,479.82,495.133,0,800000,0,0,ok
LRU,private,300,64,64,128,4,0,2,200000,800000,102467,7.8074e+06,504.911,495.195,512.335,0,800000,0,0,ok
